part;var;de;en
channel;accept_eula;Ich akzeptiere die Nutzervereinbarungen;I accept the agreement
channel;clip_based_rightmanagement;Rechte für einzelne Clips setzen;Set permissions for a clip
channel;clip_based_rightmanagement_desc;Diese Einstellung aktiviert eine individuelle Rechteverwaltung auf Clip-Ebene (iVT-Modus). Lassen Sie Einstellung deaktiviert, wenn alle Kursteilnehmer sämtliche Aufzeichnungen des gewählten Kanals sehen dürfen.;This setting enables an individual rights management based on clips ownership (iVT-Mode). Let this setting deactivated, when all students are allowed to see all the clips of this channel.
channel;has_references;Dieser SWITCHcast-Channel wird in ILIAS mehrfach verwendet. Änderungen, welche Sie hier vornehmen, werden auf alle Referenzen übertragen!;Attention: The channel as some more references in ILIAS
channel;type;Channel;Channel
channel;type_new;Neuer Channel;New Channel
channel;type_existing;Bestehender Channel;Existing Channel
channel;type_existing_select;Wählen Sie einen bestehenden Channel;Choose an existing Channel
channel;kind;Channel-Typ;Channel Type
channel;kind_productiv;Produktiv;Productiv
channel;kind_test;Test;Test
channel;title;Titel;Title
channel;description;Beschreibung;Description
channel;online;Online;Online
channel;introduction_text;Arbeitsanweisung;Work Instructions
channel;license;Lizenz;License
channel;license_desc;For detailed information, visit <a target='_blank' href='http://creativecommons.org/international/ch/'>Creative Commons International (Switzerland)</a>;For detailed information, visit <a target='_blank' href='http://creativecommons.org/international/ch/'>Creative Commons International (Switzerland)</a>
clip;add;Clip hinzufügen;Add Clip
clip;reload;Clips neu laden;Reload Clips
clip;actions;Aktionen;Actions
clip;edit;Metadaten editieren;Edit Clip Metadata
clip_edit_members;;Mitglieder bearbeiten;Edit Members
clip_edit_owner;;Besitzer bearbeiten;Edit Owner
clip;cut_switch;Clip schneiden;Cut Clip
clip;delete;Clip löschen;Delete Clip
clip;title;Titel;Title
clip;presenter;Presenter;Presenter
clip;location;Ort;Location
clip;update;Speichern;Save
clip;create;Speichern;Save
clip;cancel;Abbrechen;Cancel

edit_properties;;Eigenschaften bearbeiten;Edit Settings
actions;;Aktionen;Actions
add_member;;Mitglied hinzufügen;Add Member
add_Member;;Mitglied hinzufügen;Add Member
add_member;;Mitglied hinzufügen;Add Member
agreement_title;;Service Conditions;Service Conditions
allow_annotations;;Annotationen erlauben;Allow annotations
annotations;;Annotationen;Annotations
available_participants;;Verfügbare Kursteilnehmer;Available Participants
back_to_list;;Zurück;back
cancel;;Abbrechen;Cancel
cast_back_to_list;;Zurück zur Liste;Back to list
channel_author;;Channel Autor;Channel author
channel_chaptering;;Auto chaptering;Auto chaptering
channel_chaptering_desc;;Enable auto chaptering for each uploaded media. Auto chaptering based on OCR scanning of the slides.;Enable auto chaptering for each uploaded media. Auto chaptering based on OCR scanning of the slides.
channel_discipline;;Disziplin;Discipline
channel_extid;;Channel-Ext-ID;Channel-Ext-ID
channel_extid_desc;;Die externe Channel-ID müssten Sie beim Podcast-Support der Uni Bern nachfragen. Bitte senden Sie ein Mail an <a href="mailto:podcast@id.unibe.ch">podcast@id.unibe.ch</a>  mit der SWITCHcast Channel Nummer.;Die externe Channel-ID müssten Sie beim Podcast-Support der Uni Bern nachfragen. Bitte senden Sie ein Mail an <a href="mailto:podcast@id.unibe.ch">podcast@id.unibe.ch</a>  mit der SWITCHcast Channel Nummer.
channel_id;;Channel ID;Channel ID
channel_name;;Channel Name;Channel name
channel_searchability;;Searchability;Searchability
channel_searchability_desc;;Channel content is publicly <a target="_blank" href="https://collection.switch.ch/">searchable in SWITCHcollection</a>. Clips will be licensed in SWITCHcollection under Creative Commons Attribution-Noncommercial-No Derivative Works 2.5 Switzerland.;Channel content is publicly <a target="_blank" href="https://collection.switch.ch/">searchable in SWITCHcollection</a>. Clips will be licensed in SWITCHcollection under Creative Commons Attribution-Noncommercial-No Derivative Works 2.5 Switzerland.
channel_streamingonly;;Nur Streaming;Streaming Only
channel_streamingonly_desc;;A stream can only be watched via an internet connection using the SWITCH video player software;A stream can only be watched via an internet connection using the SWITCH video player software
channel_type;;Channel type;Channel type
clip_confirm_delete;;Das Löschen bewirkt, dass der Clip auch auf SWITCHCast gelöscht wird. Wollen Sie diesen Clip wirklich löschen?;The deletion causes the clip is deleted from SWITCHcast. Do you want to delete this clip really?
clip_deleted;;Der Clip wurde gelöscht.;The clip has been deleted.
clip_inviting_possible;;Clip-Besitzer können Leserechte auf Ihre Clips erteilen;Clip Owner are able to invite other users
clip_onpublishing;;Bitte haben Sie etwas Geduld. Der Clip wird publiziert.;Bitte haben Sie etwas Geduld. Der Clip wird publiziert.
clip_onupload;;Bitte haben Sie etwas Geduld. Der Clip wird derzeit für die spätere Bearbeitung vorbereitet.;Bitte haben Sie etwas Geduld. Der Clip wird derzeit für die spätere Bearbeitung vorbereitet.
